year,date,total_votes,majority_votes
1789,1789-11-06,69,35
1792,1792-11-06,132,67
1796,1796-11-06,138,69
1800,1800-11-06,138,70
1804,1804-11-06,176,89
1808,1808-11-06,175,88
1812,1812-11-06,217,109
1816,1816-11-06,217,109
1820,1820-11-06,235,118
1824,1824-11-06,261,131
1828,1828-11-06,261,131
1832,1832-11-06,286,144
1836,1836-11-06,294,148
1840,1840-11-06,294,148
1844,1844-11-06,275,138
1848,1848-11-06,290,146
1852,1852-11-06,296,149
1856,1856-11-06,296,149
1860,1860-11-06,303,152
1864,1864-11-06,233,117
1868,1868-11-06,294,148
1872,1872-11-06,352,177
1876,1876-11-06,369,185
1880,1880-11-06,369,185
1884,1884-11-06,401,201
1888,1888-11-06,401,201
1892,1892-11-06,444,223
1896,1896-11-06,447,224
1900,1900-11-06,447,224
1904,1904-11-06,476,239
1908,1908-11-06,483,242
1912,1912-11-06,531,266
1916,1916-11-06,531,266
1920,1920-11-06,531,266
1924,1924-11-06,531,266
1928,1928-11-06,531,266
1932,1932-11-06,531,266
1936,1936-11-06,531,266
1940,1940-11-06,531,266
1944,1944-11-06,531,266
1948,1948-11-06,531,266
1952,1952-11-06,531,266
1956,1956-11-06,531,266
1960,1960-11-06,537,269
1964,1964-11-06,538,270
1968,1968-11-06,538,270
1972,1972-11-06,538,270
1976,1976-11-06,538,270
1980,1980-11-06,538,270
1984,1984-11-06,538,270
1988,1988-11-06,538,270
1992,1992-11-06,538,270
1996,1996-11-06,538,270
